data,method1,method2,noise,sigma,criteria,value,methods
Ceramic,HC (average),K-Means,Normal,0.5,ARI,0.7740187599183177,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.5,MI,0.7370057631949714,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.5,Fowlkes Mallows,0.8879592235001554,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.5,V Measure,0.7392290499706021,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.0,ARI,0.47732480885580203,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.0,MI,0.41268094733663824,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.0,Fowlkes Mallows,0.7512523356483959,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.0,V Measure,0.4182755284535055,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.5,ARI,0.15027402078066168,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.5,MI,0.1258441443016124,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.5,Fowlkes Mallows,0.6500994635620998,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,1.5,V Measure,0.13726845242781338,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,2.0,ARI,0.02848175430632006,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,2.0,MI,0.026097223320456112,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,2.0,Fowlkes Mallows,0.6264221978384735,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,2.0,V Measure,0.0398963586420857,HC (average):K-Means
Ceramic,HC (average),K-Means (minibatch),Laplace,0.0,ARI,0.7290132830916644,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.0,MI,0.7010925683923459,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.0,Fowlkes Mallows,0.8652016202751591,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.0,V Measure,0.7036140924301566,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.5,ARI,0.6781292905514964,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.5,MI,0.6323799194041715,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.5,Fowlkes Mallows,0.8445101862920187,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,0.5,V Measure,0.6357446174825941,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.0,ARI,0.3002087933243154,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.0,MI,0.26034750807680956,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.0,Fowlkes Mallows,0.674915255396357,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.0,V Measure,0.2676494126842228,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.5,ARI,0.04732571134846811,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.5,MI,0.03970259853851493,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.5,Fowlkes Mallows,0.6225541605314744,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,1.5,V Measure,0.05214955761288684,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,2.0,ARI,0.011141947880046662,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,2.0,MI,0.006474859721895309,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,2.0,Fowlkes Mallows,0.647553724507747,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Laplace,2.0,V Measure,0.021052074921447287,HC (average):K-Means (minibatch)
Ceramic,HC (average),K-Means (minibatch),Normal,0.0,ARI,0.721798902035934,HC (average):K-Means (minibatch)
