data,method,sigma,noise,criteria,Consistency,Accuracy
PANCAN,HC (ward),3.0,laplace,MI,0.2073535117985901,0.36336345264595293
PANCAN,HC (ward),3.0,laplace,fowlkes mallows,0.38119137604408576,0.48100468470073743
PANCAN,HC (ward),3.0,laplace,v_measure,0.21324093295220836,0.36797479419432827
PANCAN,HC (ward),3.0,normal,ARI,0.5035107162692215,0.606218506111875
PANCAN,HC (ward),3.0,normal,MI,0.5605725508693962,0.6636759853605751
PANCAN,HC (ward),3.0,normal,fowlkes mallows,0.6200759400004277,0.7010094231412555
PANCAN,HC (ward),3.0,normal,v_measure,0.5636536663191405,0.6660443893767194
PANCAN,HC (ward),4.0,laplace,ARI,0.021574108896682737,0.09905170617779803
PANCAN,HC (ward),4.0,laplace,MI,0.032476741627856964,0.12757225556792753
PANCAN,HC (ward),4.0,laplace,fowlkes mallows,0.2740418852244634,0.32630871986760157
PANCAN,HC (ward),4.0,laplace,v_measure,0.039553900528384055,0.13384368907423438
