data,method1,method2,criteria,value,methods
TCGA,HC (average),HC (average),ARI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),MI,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),Fowlkes Mallows,1.0,HC (average):HC (average)
TCGA,HC (average),HC (average),V Measure,1.0,HC (average):HC (average)
TCGA,HC (average),HC (single),ARI,0.5953673237068903,HC (average):HC (single)
TCGA,HC (average),HC (single),MI,0.564471062384275,HC (average):HC (single)
TCGA,HC (average),HC (single),Fowlkes Mallows,0.9816830243217889,HC (average):HC (single)
TCGA,HC (average),HC (single),V Measure,0.5723380660866684,HC (average):HC (single)
TCGA,HC (average),K-Means,ARI,0.00807060374735933,HC (average):K-Means
TCGA,HC (average),K-Means,MI,0.03041134327102503,HC (average):K-Means
TCGA,HC (average),K-Means,Fowlkes Mallows,0.47918057775655,HC (average):K-Means
TCGA,HC (average),K-Means,V Measure,0.057999621972327685,HC (average):K-Means
TCGA,HC (average),K-Means (minibatch),ARI,0.011787931667883701,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),MI,0.03567460748516654,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),Fowlkes Mallows,0.4883036110522122,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means (minibatch),V Measure,0.06300955994145645,HC (average):K-Means (minibatch)
TCGA,HC (average),K-Means++,ARI,0.008189197288468411,HC (average):K-Means++
TCGA,HC (average),K-Means++,MI,0.030173578322905414,HC (average):K-Means++
TCGA,HC (average),K-Means++,Fowlkes Mallows,0.477640805533025,HC (average):K-Means++
TCGA,HC (average),K-Means++,V Measure,0.057772024767435724,HC (average):K-Means++
TCGA,Birch,HC (average),ARI,0.011719116397077518,Birch:HC (average)
TCGA,Birch,HC (average),MI,0.032247443773511415,Birch:HC (average)
TCGA,Birch,HC (average),Fowlkes Mallows,0.502418028432001,Birch:HC (average)
TCGA,Birch,HC (average),V Measure,0.05977777691864375,Birch:HC (average)
